ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,benchmark,delist_date,benchmark_normalized,recovered_index_code,recovered_index_name,recovered_cluster,exact_benchmark_matches,recovery_pass,recovery_reason
517060.SH,华宝中证沪港深500ETF,华宝中证沪港深500ETF,华宝中证沪港深500交易型开放式指数证券投资基金,,,20210305,20210326,D,SH,华宝基金,中国银行股份有限公司,,纯境内,中证沪港深500指数收益率×100%,20221111,中证沪港深500,H30455.CSI,中证沪港深500指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
517270.SH,浦银安盛中证沪港深科技龙头ETF,浦银安盛中证沪港深科技龙头ETF,浦银安盛中证沪港深科技龙头交易型开放式指数证券投资基金,,,20211230,20220112,D,SH,浦银安盛基金,光大证券股份有限公司,,纯境内,中证沪港深科技龙头指数收益率×100%,20240520,中证沪港深科技龙头,931524.CSI,中证沪港深科技龙头指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
517280.SH,天弘中证沪港深线上消费主题ETF,天弘中证沪港深线上消费主题ETF,天弘中证沪港深线上消费主题交易型开放式指数证券投资基金,,,20211116,20211203,D,SH,天弘基金,中信证券股份有限公司,,纯境内,中证沪港深线上消费主题指数×100%,20240826,中证沪港深线上消费主题,931481.CSI,中证沪港深线上消费主题指数,consumer,1,True,exact_normalized_benchmark
517500.SH,国泰中证沪港深动漫游戏ETF,国泰中证沪港深动漫游戏ETF,国泰中证沪港深动漫游戏交易型开放式指数证券投资基金,,,20220303,20220315,D,SH,国泰基金,中信建投证券股份有限公司,,纯境内,中证沪港深动漫游戏指数收益率×100%,20231221,中证沪港深动漫游戏,931523.CSI,中证沪港深动漫游戏指数,software_media,1,True,exact_normalized_benchmark
517760.SH,浦银安盛中证沪港深消费龙头ETF,浦银安盛中证沪港深消费龙头ETF,浦银安盛中证沪港深消费龙头交易型开放式指数证券投资基金,,,20220401,20220419,D,SH,浦银安盛基金,兴业银行股份有限公司,,纯境内,中证沪港深消费龙头指数收益率×100%,20240529,中证沪港深消费龙头,931663.CSI,中证沪港深消费龙头指数,consumer,1,True,exact_normalized_benchmark
517780.SH,浦银安盛中华交易服务沪深港300ETF,浦银安盛中华交易服务沪深港300ETF,浦银安盛中华交易服务沪深港300交易型开放式指数证券投资基金,,,20220308,20220318,D,SH,浦银安盛基金,海通证券股份有限公司,,纯境内,中华交易服务沪深港300指数收益率×100%,20231114,中华交易服务沪深港300,,,,0,False,ambiguous_or_non_theme_or_unmatched
517960.SH,摩根中证沪港深科技100ETF,摩根中证沪港深科技100ETF,摩根中证沪港深科技100交易型开放式指数证券投资基金,,,20211122,20211223,D,SH,摩根资产管理,中国银行股份有限公司,,纯境内,中证沪港深科技100指数收益率×100%,20240904,中证沪港深科技100,931442.CSI,中证沪港深科技100指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
560000.SH,浦银安盛中证智能电动汽车ETF,浦银安盛中证智能电动汽车ETF,浦银安盛中证智能电动汽车交易型开放式指数证券投资基金,,,20210917,20210930,D,SH,浦银安盛基金,招商银行股份有限公司,,纯境内,中证智能电动汽车指数收益率×100%,20260715,中证智能电动汽车,H11052.CSI,中证智能电动汽车指数,ai_robotics,1,True,exact_normalized_benchmark
560600.SH,方正富邦中证医药及医疗器械创新ETF,方正富邦中证医药及医疗器械创新ETF,方正富邦中证医药及医疗器械创新交易型开放式指数证券投资基金,,,20220303,20220315,D,SH,方正富邦基金,平安银行股份有限公司,,纯境内,中证医药及医疗器械创新指数收益率×100%,20231229,中证医药及医疗器械创新,931484.CSI,中证医药及医疗器械创新指数,healthcare,1,True,exact_normalized_benchmark
560650.SH,民生加银中证企业核心竞争力50ETF,民生加银中证企业核心竞争力50ETF,民生加银中证企业核心竞争力50交易型开放式指数证券投资基金,,,20220613,20220627,D,SH,民生加银基金,交通银行股份有限公司,,纯境内,中证企业核心竞争力50指数收益率×100%,,中证企业核心竞争力50,931526.CSI,中证企业核心竞争力50指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
560890.SH,新华中证红利低波动ETF,新华中证红利低波动ETF,新华中证红利低波动交易型开放式指数证券投资基金,,,20240902,20240920,D,SH,新华基金,华福证券股份有限公司,,纯境内,中证红利低波动指数收益率×100%,20260401,中证红利低波动,H30269.CSI,中证红利低波动指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
560960.SH,摩根中证碳中和60ETF,摩根中证碳中和60ETF,摩根中证碳中和60交易型开放式指数证券投资基金,,,20221229,20230113,D,SH,摩根资产管理,交通银行股份有限公司,,纯境内,中证碳中和60指数收益率×100%,20250626,中证碳中和60,931772.CSI,中证碳中和60指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
561150.SH,富国中证500ESG基准ETF,富国中证500ESG基准ETF,富国中证500ESG基准交易型开放式指数证券投资基金,,,20220728,20220808,D,SH,富国基金,中国建设银行股份有限公司,,纯境内,中证500ESG基准指数收益率×100%,20221227,中证500ESG基准,931648.CSI,中证500ESG基准指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
561710.SH,博时中证疫苗与生物技术ETF,博时中证疫苗与生物技术ETF,博时中证疫苗与生物技术交易型开放式指数证券投资基金,,,20221108,20221125,D,SH,博时基金,中信建投证券股份有限公司,,纯境内,中证疫苗与生物技术指数×100%,20240920,中证疫苗与生物技术,931992.CSI,中证疫苗与生物技术指数,healthcare,1,True,exact_normalized_benchmark
562260.SH,海富通中证汽车零部件主题ETF,海富通中证汽车零部件主题ETF,海富通中证汽车零部件主题交易型开放式指数证券投资基金,,,20240419,20240510,D,SH,海富通基金,光大证券股份有限公司,,纯境内,中证汽车零部件主题指数收益率×100%,20250728,中证汽车零部件主题,931230.CSI,中证汽车零部件主题指数,automotive,1,True,exact_normalized_benchmark
