ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,benchmark,delist_date,benchmark_normalized,recovered_index_code,recovered_index_name,recovered_cluster,exact_benchmark_matches,recovery_pass,recovery_reason
510860.SH,兴业上证50ETF,兴业上证50ETF,兴业上证50交易型开放式指数证券投资基金,,,20201113,20210112,D,SH,兴业基金,中国农业银行股份有限公司,,纯境内,上证50指数收益率×100%,20220317,上证50,000016.SH,上证50指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
510890.SH,兴业上证红利低波动ETF,兴业上证红利低波动ETF,兴业上证红利低波动交易型开放式指数证券投资基金,,,20190422,20190624,D,SH,兴业基金,中国工商银行股份有限公司,,纯境内,上证红利低波动指数收益率×100%,20210907,上证红利低波动,H50040.CSI,上证红利低波动指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
511000.SH,招商中债-0-3年长三角地方政府债ETF,招商中债-0-3年长三角地方政府债ETF,招商中债-0-3年长三角地方政府债交易型开放式指数证券投资基金,,,20200928,20201029,D,SH,招商基金,浙商银行股份有限公司,,纯境内,中债-0-3年长三角地方政府债指数×100%,20210419,中债03年长三角地方政府债,,,,0,False,ambiguous_or_non_theme_or_unmatched
511050.SH,兴业上证1-5年期地方政府债ETF,兴业上证1-5年期地方政府债ETF,兴业上证1-5年期地方政府债交易型开放式指数证券投资基金,,,20200618,20200730,D,SH,兴业基金,中国银行股份有限公司,,纯境内,上证1-5年期地方政府债指数收益率×100%,20210831,上证15年期地方政府债,950047.CSI,上证1-5年期地方政府债指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
511210.SH,博时上证企债30ETF,博时上证企债30ETF,上证企债30交易型开放式指数证券投资基金,,,20130711,20130816,D,SH,博时基金,中国工商银行股份有限公司,,纯境内,上证企债30指数×100%,20180126,上证企债30,000061.SH,上证企债30指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
511230.SH,海富通上证周期产业债ETF,海富通上证周期产业债ETF,上证周期产业债交易型开放式指数证券投资基金,,,20170123,20170421,D,SH,海富通基金,交通银行股份有限公司,,纯境内,上证周期产业债指数×100%,20210329,上证周期产业债,950102.CSI,上证周期产业债指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
511280.SH,华夏上证3-5年期中高评级可质押信用债ETF,华夏上证3-5年期中高评级可质押信用债ETF,华夏上证3-5年期中高评级可质押信用债交易型开放式指数证券投资基金,,,20180503,20180531,D,SH,华夏基金,中国建设银行股份有限公司,,纯境内,上证3-5年期中高评级可质押信用债指数收益率×100%,20211022,上证35年期中高评级可质押信用债,,,,0,False,ambiguous_or_non_theme_or_unmatched
511290.SH,广发上证10年期国债ETF,广发上证10年期国债ETF,广发上证10年期国债交易型开放式指数证券投资基金,,,20180326,20180427,D,SH,广发基金,中国工商银行股份有限公司,,纯境内,上证10年期国债指数×100%,20201030,上证10年期国债,H11077.CSI,上证10年期国债指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
511310.SH,富国中证10年期国债ETF,富国中证10年期国债ETF,富国中证10年期国债交易型开放式指数证券投资基金,,,20180319,20180426,D,SH,富国基金,中国工商银行股份有限公司,,纯境内,中证10年期国债指数×100%,20230308,中证10年期国债,930916.CSI,中证10年期国债指数,other_theme,1,False,ambiguous_or_non_theme_or_unmatched
511680.SH,安信保证金货币ETF,安信保证金货币ETF,安信保证金交易型货币市场基金,,,20160909,20160927,D,SH,安信基金,招商证券股份有限公司,,纯境内,七天通知存款利率(税后)×100%,20181030,七天通知存款利率税后,,,,0,False,ambiguous_or_non_theme_or_unmatched
