score,components,component_count,condition,horizon,ic_days,rank_ic_mean,rank_ic_std,rank_ic_ir_annualized,positive_ratio,oos_rank_ic_mean,nw_t_value,nw_p_value,fdr_q,promising,exploratory_score
pair:volatility_contraction+continuous_move,volatility_contraction+continuous_move,2,pre_decelerating,5,931,0.02774261315427346,0.26554966569417615,1.6584480707230624,0.5209452201933404,0.014738691263013878,2.986185409803665,0.002824813164043945,0.005944492002831517,True,0.8464907301845412
pair:trend_flatness+approach_velocity,trend_flatness+approach_velocity,2,market_high_vol,20,632,0.03359042924867282,0.2274110610751354,2.3447915454174595,0.560126582278481,0.05210601785736673,2.8069933896667356,0.005000626784737777,0.010021136777367155,True,0.8444502970889287
pair:direction_persistence+breakout_strength,direction_persistence+breakout_strength,2,shallow_breakout,1,1135,0.025054990307243397,0.245097220986381,1.622766831561503,0.5418502202643172,0.013885488512068838,3.4454439260602685,0.0005701222402790699,0.0013741827312321914,True,0.8440966367075684
pair:breakout_strength+continuous_move,breakout_strength+continuous_move,2,strong_breakout,10,1144,0.024880931047789746,0.24563960556571016,1.607935067032693,0.5506993006993007,0.017996638328747618,3.4011286633545867,0.000671082340863664,0.001591649410801349,True,0.8415494488720011
pair:approach_velocity+direction_persistence,approach_velocity+direction_persistence,2,pre_decelerating,20,923,0.027652585271933944,0.27039311029880936,1.6234555012890826,0.5482123510292525,0.027397048933630905,2.841498555357906,0.004490205540224801,0.009077671850273967,True,0.8401108443893084
pair:volatility_contraction+approach_velocity,volatility_contraction+approach_velocity,2,market_low_vol,20,628,0.033509588838286676,0.16667710050648862,3.191489592729541,0.5636942675159236,0.03633284881720214,3.6277020354897718,0.00028595499525651364,0.000732323768339852,True,0.8397478893702115
pair:volatility_contraction+trend_flatness,volatility_contraction+trend_flatness,2,pre_decelerating,20,923,0.027621050470573227,0.26404484602074413,1.6605913335591278,0.551462621885157,0.031221128609396884,2.684180020426578,0.007270794474770431,0.014111220815868845,True,0.8391527882676737
pair:volatility_contraction+direction_persistence,volatility_contraction+direction_persistence,2,shallow_breakout,5,1130,0.02495158683330239,0.24135004241923338,1.641160521430866,0.5424778761061947,0.012098702722822088,3.2583691840044757,0.001120545254257067,0.0025508347251380382,True,0.838759384218625
single:direction_persistence,direction_persistence,1,pre_decelerating,10,925,0.027558462856958822,0.2492057748068366,1.755485143742906,0.5362162162162162,0.011152246439787152,3.2569074939692157,0.0011263313302065086,0.002562848715232868,True,0.8381579262946218
single:approach_velocity,approach_velocity,1,all,10,1271,0.023502964261915095,0.20979668718365577,1.7783788489118848,0.5625491738788355,0.011911444211710151,3.3410715978533894,0.0008345569871808959,0.0019445988050816993,True,0.8379062222481145
single:approach_velocity,approach_velocity,1,volatility_contracting,10,1271,0.023502964261915095,0.20979668718365577,1.7783788489118848,0.5625491738788355,0.011911444211710151,3.3410715978533894,0.0008345569871808959,0.0019445988050816993,True,0.8379062222481145
pair:trend_flatness+continuous_move,trend_flatness+continuous_move,2,pre_accelerating,1,1176,0.024410082173732802,0.23277375079626245,1.6646981893815394,0.5425170068027211,0.015811213762963915,3.597689057179498,0.00032105711542699644,0.0008114984261544945,True,0.8370914426707421
single:continuous_move,continuous_move,1,market_low_vol,5,628,0.033378592677344124,0.19075956599949628,2.7776784312187215,0.571656050955414,0.03301534680804447,4.467430612588714,7.916467645054998e-06,2.5925274159244437e-05,True,0.8364651349861463
pair:direction_persistence+continuous_move,direction_persistence+continuous_move,2,strong_breakout,3,1151,0.024543735908303218,0.25990622219173326,1.499078111563927,0.5543006081668115,0.03182366174355683,3.1477384812250064,0.0016453882747492854,0.0036181312847890046,True,0.8326803787524654
pair:trend_flatness+approach_velocity,trend_flatness+approach_velocity,2,market_up,10,776,0.029873702444857684,0.17656106655062365,2.6859280685362346,0.586340206185567,0.012441368451003118,3.501882261202171,0.00046198372413796325,0.001130290276531716,True,0.8321850538580846
pair:trend_flatness+approach_velocity,trend_flatness+approach_velocity,2,market_down,20,485,0.037767285950287416,0.24507222991544714,2.4463688852743246,0.554639175257732,0.04915826702928574,2.6496253764363558,0.008058106731340829,0.015512932744827264,True,0.831738195410447
single:direction_persistence,direction_persistence,1,market_down,5,500,0.037177728343030014,0.24172107152113134,2.44156679151679,0.568,0.028273903070062837,3.147488668828684,0.0016467948857745779,0.0036196451043627874,True,0.8313192782403573
single:range_compactness,range_compactness,1,pre_decelerating,1,935,0.02718204744943471,0.2636746288479986,1.636492778792608,0.5454545454545454,0.0314161669137663,3.153929604245898,0.0016108793804194758,0.003546890378905268,True,0.8311663869605196
pair:trend_flatness+continuous_move,trend_flatness+continuous_move,2,volume_weak,5,83,0.0911555613750013,0.31411858194653436,4.606698741428581,0.5662650602409639,0.10676758796096865,2.8382049658927926,0.004536803935353341,0.009157185356099655,True,0.8304666872765609
pair:volatility_contraction+continuous_move,volatility_contraction+continuous_move,2,continuous_breakout,10,1224,0.023734466919891634,0.208909208455918,1.8035250078688496,0.5449346405228758,0.00485312572579302,3.4058985491357245,0.0006594668005334619,0.0015655735632070882,True,0.8303672091581114
pair:trend_flatness+approach_velocity,trend_flatness+approach_velocity,2,market_low_vol,10,628,0.03309390887629351,0.17153604608618467,3.0626187834729683,0.5939490445859873,0.0167930013456418,3.443193973586635,0.0005748868174504177,0.0013850045697658246,True,0.8293309793800052
pair:direction_persistence+continuous_move,direction_persistence+continuous_move,2,continuous_breakout,1,1234,0.023607272777173872,0.21076904207544567,1.7780307473763555,0.5429497568881686,0.022051986928578415,3.936158860626991,8.279617578366304e-05,0.00023273437030098254,True,0.8292842134770527
pair:range_compactness+continuous_move,range_compactness+continuous_move,2,shallow_breakout,3,1132,0.02460653610389899,0.24817348955550536,1.573966065616086,0.5371024734982333,0.013469578185838478,3.2062407225296536,0.0013448143590913952,0.0030137235970745363,True,0.8278920175631436
pair:range_compactness+direction_persistence,range_compactness+direction_persistence,2,pre_decelerating,1,935,0.02702127917793921,0.2551592157990496,1.6811052954789951,0.5347593582887701,0.036079149214826474,3.2399090469421985,0.00119567832192424,0.0027047660424139,True,0.8262504517792064
pair:direction_persistence+continuous_move,direction_persistence+continuous_move,2,pre_decelerating,3,933,0.027047978351213718,0.2668359429433297,1.6091285917857476,0.5401929260450161,0.020395435927244018,3.0601132311526302,0.0022125332512726707,0.0047391277460324096,True,0.8261818159365699
pair:volatility_contraction+continuous_move,volatility_contraction+continuous_move,2,market_down,10,495,0.03707353648426174,0.24845759125515662,2.368710666400313,0.5656565656565656,0.007010099583235734,2.876744980623198,0.0040180017164596505,0.008198675567188922,True,0.8248341155576033
