score,components,component_count,condition,horizon,ic_days,rank_ic_mean,rank_ic_std,rank_ic_ir_annualized,positive_ratio,oos_rank_ic_mean,nw_t_value,nw_p_value,fdr_q,promising,exploratory_score
pair:breakout_strength+continuous_move,breakout_strength+continuous_move,2,volume_weak,5,83,-0.039493183651643435,0.30142764988097953,-2.0798850231365655,0.42168674698795183,0.03734659533861133,-1.2741152658648065,0.20262256896044337,0.26518248443537645,False,-0.359800026487245
named:full_process,range_compactness+volatility_contraction+trend_flatness+approach_velocity+pre_acceleration+direction_persistence+breakout_strength+breakout_acceleration+relative_volume+continuous_move,10,market_low_vol,10,628,-0.028833377120024793,0.17056294318466164,-2.683558710703074,0.4299363057324841,-0.030644007916095273,-3.107748324182916,0.001885185337118042,0.0040936381297177644,False,-0.36128117979608954
pair:breakout_strength+relative_volume,breakout_strength+relative_volume,2,shallow_breakout,5,1130,-0.021500984661086877,0.2527569279498957,-1.3503786143704095,0.45309734513274336,-0.024738423986037945,-2.532396709591255,0.011328574092572062,0.021107583521834825,False,-0.36138288067429647
pair:pre_acceleration+direction_persistence,pre_acceleration+direction_persistence,2,wide_box,20,1120,-0.010801646013819955,0.25714442312708924,-0.6668268847952888,0.4857142857142857,0.0033810618779200807,-1.3271913078543156,0.18444540697961068,0.2448906351889457,False,-0.3614922176213718
pair:volatility_contraction+breakout_strength,volatility_contraction+breakout_strength,2,gap_led_breakout,10,438,-0.034565022009318595,0.2920062708344388,-1.8790785287617646,0.4520547945205479,-0.060854789396326735,-2.436446570055536,0.01483236050219122,0.026870990988872665,False,-0.36169615942426364
pair:range_compactness+relative_volume,range_compactness+relative_volume,2,pre_decelerating,10,925,-0.023842542124875046,0.26884338228489546,-1.407840577287924,0.46054054054054056,-0.016700868301964295,-2.1481681462765096,0.03170040020062166,0.05304449435960597,False,-0.36257130466061704
pair:range_compactness+pre_acceleration,range_compactness+pre_acceleration,2,volume_weak,3,83,-0.03983859332497124,0.3555877980072597,-1.778514523465619,0.4819277108433735,0.05405347025222232,-1.051653435262276,0.29295858212686615,0.36592596131831606,False,-0.36294685837369195
pair:range_compactness+breakout_acceleration,range_compactness+breakout_acceleration,2,market_up,1,776,-0.02607818384143909,0.16338959376149959,-2.5336884987688455,0.4265463917525773,-0.033233719222558696,-4.4490144842185835,8.626519927326734e-06,2.8140880539628955e-05,False,-0.36322707010735256
pair:approach_velocity+relative_volume,approach_velocity+relative_volume,2,volume_confirmed,10,1260,-0.020491868751644875,0.21413881757932993,-1.5191002517535501,0.4634920634920635,-0.02716253943436534,-2.6398339644285445,0.008294665349317035,0.015913632798080644,False,-0.36369459131861104
pair:trend_flatness+breakout_strength,trend_flatness+breakout_strength,2,volume_weak,20,83,-0.0399577789232883,0.3647641848243343,-1.7389593118814284,0.42168674698795183,0.06592170186709248,-0.6758667101280781,0.4991252753217728,0.5753868681659962,False,-0.3640326908507501
pair:approach_velocity+breakout_strength,approach_velocity+breakout_strength,2,compact_box,20,1137,-0.021615769341195093,0.2379002093839417,-1.4423682153681288,0.45822339489885666,-0.035167175797852994,-2.5147075513264734,0.011913115816253789,0.02207430283599967,False,-0.3644357170849063
pair:approach_velocity+breakout_strength,approach_velocity+breakout_strength,2,market_low_vol,10,628,-0.029085797729064722,0.17599484456262637,-2.6235014212924543,0.428343949044586,-0.05715321492424737,-3.354372722995619,0.000795451375967609,0.001863819123606113,False,-0.36444400096196183
pair:volatility_contraction+relative_volume,volatility_contraction+relative_volume,2,market_low_vol,3,628,-0.02910833102113154,0.18916878757424918,-2.4426885412636983,0.4140127388535032,-0.02504360770244771,-3.5827168622190833,0.00034003911501546757,0.0008551881934520741,False,-0.3647263423023016
pair:range_compactness+breakout_strength,range_compactness+breakout_strength,2,pre_decelerating,3,933,-0.023883961959364382,0.26505224742980465,-1.4304581292216443,0.4640943193997856,-0.002614173815506537,-2.707870365025378,0.006771646721812391,0.01318744183845999,False,-0.36476839058217764
pair:trend_flatness+breakout_acceleration,trend_flatness+breakout_acceleration,2,shallow_breakout,5,1130,-0.02180686088468031,0.24229011687926433,-1.4287548708706845,0.4407079646017699,-0.022961812626405786,-3.073750360812734,0.002113862364505131,0.0045451648110519886,False,-0.3665239675851683
pair:pre_acceleration+breakout_strength,pre_acceleration+breakout_strength,2,shallow_breakout,20,1120,-0.02192309759528187,0.2509421414439857,-1.3868471163484002,0.47410714285714284,-0.019028046659932386,-3.2786638908505092,0.0010429978030268305,0.002392675888600467,False,-0.3668435883155532
pair:direction_persistence+breakout_strength,direction_persistence+breakout_strength,2,continuous_breakout,20,1216,-0.021045404966805334,0.20518745884529774,-1.6281962288384713,0.43667763157894735,-0.03506967049865938,-2.8715201175791822,0.0040850277977060034,0.008332068029315362,False,-0.3669391739047737
single:pre_acceleration,pre_acceleration,1,gap_led_breakout,5,440,-0.035018351735886924,0.35412449485617636,-1.5697843785842462,0.4409090909090909,-0.09096825436573801,-2.0529531576632594,0.04007712074373902,0.06507367543442161,False,-0.36727557148932793
pair:breakout_strength+relative_volume,breakout_strength+relative_volume,2,gap_led_breakout,5,440,-0.035031201366016694,0.3249337204603235,-1.7114354301733419,0.45,-0.06461071184091988,-2.223449273637697,0.02618552029081223,0.04479803878672561,False,-0.3674103395470861
pair:range_compactness+relative_volume,range_compactness+relative_volume,2,shallow_breakout,3,1132,-0.010945869637520136,0.24931731827911785,-0.6969443393047264,0.4743816254416961,0.009654519603048844,-1.4011588358567837,0.16116658077783222,0.21782771979626558,False,-0.3682760572201707
pair:direction_persistence+relative_volume,direction_persistence+relative_volume,2,continuous_breakout,1,1234,-0.021000498572490124,0.21196182668867627,-1.5727953707282556,0.4521880064829822,-0.004901386537695156,-3.481814048255454,0.0004980294065555286,0.0012120078266730392,False,-0.36885628648626795
pair:approach_velocity+breakout_acceleration,approach_velocity+breakout_acceleration,2,shallow_breakout,3,1132,-0.021927222694911087,0.24734500098648587,-1.4072807931032967,0.45229681978798586,-0.007960229187299071,-2.8496455321785237,0.004376797720930742,0.008869746889220322,False,-0.36887298073559055
pair:approach_velocity+breakout_strength,approach_velocity+breakout_strength,2,pre_decelerating,10,925,-0.024265770680254973,0.26263455353231707,-1.4667040660370085,0.4627027027027027,-0.03006514703342271,-2.588247170744899,0.009646573357574295,0.018202444673221435,False,-0.36900730165666024
pair:breakout_acceleration+continuous_move,breakout_acceleration+continuous_move,2,volume_confirmed,20,1249,-0.02088497654739243,0.2056445574626668,-1.6121930411461962,0.45236188951160927,-0.049142813120675234,-3.3002423711078377,0.0009660136167300929,0.0022292621924540606,False,-0.36905000490652673
pair:breakout_strength+breakout_acceleration,breakout_strength+breakout_acceleration,2,volume_weak,3,83,-0.08111884331838018,0.33459998747075953,-3.848540838580928,0.3614457831325301,-0.09617584553605858,-2.6685526202111234,0.007617884468402512,0.014732976869051673,False,-0.369513917034558
named:full_process,range_compactness+volatility_contraction+trend_flatness+approach_velocity+pre_acceleration+direction_persistence+breakout_strength+breakout_acceleration+relative_volume+continuous_move,10,gap_led_breakout,3,440,-0.035240745907384345,0.3168224410572549,-1.7657508611362527,0.46136363636363636,-0.014296512009712548,-2.297998918584687,0.021561850676339103,0.03764174832308593,False,-0.3696080612378076
pair:approach_velocity+breakout_acceleration,approach_velocity+breakout_acceleration,2,market_down,20,485,-0.03363961060856863,0.24013406510095706,-2.223808866948666,0.4309278350515464,-0.053351075420178674,-2.1824892351241285,0.029073444884076684,0.04903954558759922,False,-0.3704177877477065
pair:pre_acceleration+breakout_strength,pre_acceleration+breakout_strength,2,gap_led_breakout,1,441,-0.03527795979855629,0.3151914688276997,-1.7767620818392835,0.4489795918367347,-0.029154715377743563,-2.3531047370841662,0.01861738930549512,0.032911835180531535,False,-0.370418577884841
pair:direction_persistence+relative_volume,direction_persistence+relative_volume,2,market_down,5,500,-0.03313827878050429,0.24685762377599352,-2.1310010974464246,0.438,-0.026406819436295775,-2.8869561909561523,0.0038898838806535317,0.007969518194509674,False,-0.37049722005273217
pair:pre_acceleration+relative_volume,pre_acceleration+relative_volume,2,market_low_vol,20,628,-0.02958367956397049,0.20348027643045447,-2.3079699034881496,0.43471337579617836,-0.04440029486330157,-2.5408409715424862,0.011058620611237448,0.02065040677311476,False,-0.37068244247247345
pair:trend_flatness+relative_volume,trend_flatness+relative_volume,2,market_high_vol,20,632,-0.0295238366277012,0.22355399677205884,-2.0964795242299217,0.44462025316455694,-0.03035706819528457,-1.88966806451533,0.058802367784075965,0.08994353069248645,False,-0.3711088719185142
pair:breakout_acceleration+continuous_move,breakout_acceleration+continuous_move,2,wide_box,1,1135,-0.0220322999970623,0.24563738682347885,-1.4238545855778713,0.45462555066079297,-0.007204614470350542,-3.023115236310159,0.002501869532866144,0.005322677267051652,False,-0.3711314612058731
