factor,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
turnover_vol_rank_28,-0.05911219793302509,-0.044283286625461944,-0.04065149663343347,-0.05003901331568715,-0.023421095563672112,-0.026227967418036815,-0.056569764450638216,-0.05874783833373897,-0.05013496462405987,-0.0349115543679485
turnover_stability_28,0.05911219793302509,0.044283286625461944,0.04065149663343347,0.05003901331568715,0.023421095563672112,0.026227967418036815,0.056569764450638216,0.05874783833373897,0.05013496462405987,0.0349115543679485
price_strength_2,-0.006011380731625155,-0.02506130782106576,-0.00929798597802856,-0.01103782855765585,-0.01927801634433983,-0.017893469977480734,-0.009040378099693061,-0.004330249661696867,-0.03041202478472655,-0.0006244085957579544
recent_volume_z_mean_2_clip,0.0015400620895222614,0.016054422318694864,-0.023235967042373466,-0.014990959366761817,-0.0015625634807340492,0.0024368872944433356,0.0020735406438761646,-0.007135417588133003,-0.02562857697616244,-0.0022365387787978805
recent_volume_z_max_2_clip,0.0027223679006290863,0.014949967371921162,-0.020407109692361366,-0.013729481636253135,-0.0017464598146739695,0.002609476203020851,0.0002582624227149213,-0.0067536381233573575,-0.026511669846617958,-0.0016590475719698784
baseline_turnover_mean_28,-0.05590604508741634,-0.04637194800374044,-0.03796995661534036,-0.04866011112274636,-0.026234699411920716,-0.029098742136205263,-0.058980225705319474,-0.05843309276802729,-0.05128693218918917,-0.032155903962777815
baseline_amount_mean_28,0.02701688718554878,-0.025758959396796063,-0.007276573197613151,-0.008043324029929596,-0.036055555994379575,-0.02949064368818151,-0.04825467890100644,-0.007552404331271428,-0.02781230555882138,0.009705641853385105
