factor,rank_ic_h1,rank_ic_h3,rank_ic_h5,rank_ic_h10,rank_ic_h15
turnover_vol_rank_28,-0.0303462521010404,-0.04079680115241969,-0.04496127262848106,-0.05176682659986189,-0.05615008678001523
turnover_stability_28,0.0303462521010404,0.04079680115241969,0.04496127262848106,0.05176682659986189,0.05615008678001523
price_strength_2,-0.01172657258592144,-0.013120206120577616,-0.014031730056571455,-0.008457817456077796,-0.005209583477928192
recent_volume_z_mean_2_clip,-0.007349216471492039,-0.0071059349479028104,-0.005454744426447927,-0.0021198677848303653,-0.0019049151193378762
recent_volume_z_max_2_clip,-0.007164738967911324,-0.006740073324159563,-0.0052300119261543526,-0.0020098037508809734,-0.001688248192391168
baseline_turnover_mean_28,-0.03038749456982927,-0.04098119119788581,-0.04522184641363056,-0.05248242404291038,-0.057224106603125234
baseline_amount_mean_28,-0.006491705654253157,-0.013223115839925519,-0.01676465066548113,-0.02417303728774579,-0.0310096394059669
