factor,rank_ic_mean,rank_ic_ir,rank_ic_positive_ratio,rank_ic_newey_t,pearson_ic_mean,pearson_ic_ir,n_days,n_samples,coverage,log_avg_amount_20,log_float_market_cap,log_raw_price,turnover_zscore_60,volatility_20
turnover_vol_rank_28,-0.04496127262848106,-7.031795720866462,0.32186411149825783,-9.699049210735199,-0.005718427315951716,-0.9066574849669947,2296,1683825,0.9286876841780729,0.1747381078701165,-0.5994645760026128,0.1318324843867424,0.013191915438679924,0.6739855877948249
turnover_stability_28,0.04496127262848106,7.031795720866462,0.6781358885017421,9.699049210735199,0.005718427315951717,0.9066574849669949,2296,1683825,0.9286876841780729,-0.1747381078701165,0.5994645760026128,-0.1318324843867424,-0.013191915438679924,-0.6739855877948249
price_strength_2,-0.014031730056571455,-2.1895587150276734,0.46297909407665505,-4.80105073201898,-0.0026018394805774844,-0.4225974024787746,2296,1681943,0.927649696132033,0.010158410213640891,0.029832865060674424,0.019042894646388104,0.13345922488271625,0.020637266347236925
recent_volume_z_mean_2_clip,-0.005454744426447927,-1.3084335201143642,0.4594947735191638,-2.048100674445154,0.0019633850440174275,0.45908506502733404,2296,1683403,0.9284549365928291,-0.00023676732409503098,0.053648145797219125,0.003915707393828981,0.7931668188012048,0.03671686140602001
recent_volume_z_max_2_clip,-0.0052300119261543526,-1.2743608027302207,0.4564459930313589,-2.0464941298535955,0.0029563433158220943,0.7159822078275782,2296,1683403,0.9284549365928291,0.002639481458296257,0.045112289326062475,0.02551352426416548,0.7640520974706384,0.045332015383598996
baseline_turnover_mean_28,-0.04522184641363056,-6.781510756295859,0.33405923344947736,-9.376471143474344,-0.009736365588743284,-1.3415509935077488,2296,1683825,0.9286876841780729,0.2025582909086732,-0.606630187170321,0.1946106535781242,-0.02984991074754413,0.6849045201041661
baseline_amount_mean_28,-0.01676465066548113,-2.620766516877124,0.43118466898954705,-3.6014001327766767,-0.009180933384027958,-1.7322423850896356,2296,1683825,0.9286876841780729,0.9822973904824179,0.5857981703508081,0.22717632208163663,-0.004151674810172804,0.26698232467112853
